,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
38626,189.0,Estación Bosa ,1.4 km,6,6.590791712152753
38629,189.0,Cai Piamonte ,1.1 km,4,6.590791712152753
38637,189.0,Cai Laureles ,0.9 km,4,6.590791712152753
38638,189.0,Cai Antonia Santos ,0.9 km,3,6.590791712152753
38854,168.0,Cai Normandia ,1.6 km,6,7.220870423971701
39021,143.0,Cai Andes ,2.4 km,8,10.23806100125259
39046,143.0,Cai Fontanar ,1.8 km,7,10.23806100125259
39113,222.0,Cai Las Cruces ,1.8 km,6,1.5016567730358827
39131,222.0,Cai Distrital ,1.8 km,5,1.5016567730358827
39134,222.0,Cai Usme ,2.6 km,8,1.5016567730358827
39233,222.0,Cai Valvanera ,1.8 km,7,1.5016567730358827
39235,222.0,Cai Ciudad Berna ,2.3 km,6,1.5016567730358827
39236,222.0,Estación Antonio Nariño ,1.8 km,8,1.5016567730358827
39237,222.0,Cai Restrepo ,1.1 km,4,1.5016567730358827
39245,222.0,Estación Candelaria ,2.4 km,8,1.5016567730358827
39268,249.0,Cai Navarra ,3.1 km,6,13.811828262289291
39276,249.0,Cai El Virrey ,0.5 km,2,13.811828262289291
39277,249.0,Cai Estadero ,1.8 km,7,13.811828262289291
39279,249.0,Cai Oxy ,1.5 km,8,13.811828262289291
39391,249.0,Cai Polo Club ,2.2 km,7,13.811828262289291
39515,148.0,Cai Castilla ,2.1 km,7,15.525693658555944
39525,148.0,Cai Modelia ,3.9 km,7,15.525693658555944
39758,150.0,Cai Gorgonzola ,1.0 km,3,7.945104748270014
39761,150.0,Cai Galan ,1.4 km,4,7.945104748270014
39763,150.0,Cai Tejar ,2.6 km,7,7.945104748270014
39764,150.0,Estación Puente Aranda ,2.4 km,8,7.945104748270014
39773,150.0,Cai Santa Matilde ,2.0 km,8,7.945104748270014
39811,228.0,Cai San Victorino ,2.4 km,8,4.942820703104401
39816,228.0,Cai Telecom ,2.5 km,8,4.942820703104401
39919,228.0,Cai Ricaurte ,1.9 km,8,4.942820703104401
39920,228.0,Cai Samper Mendoza ,2.4 km,8,4.942820703104401
39924,228.0,Cai Santa Isabel  ,1.9 km,8,4.942820703104401
39925,228.0,Estación Mártires ,1.5 km,6,4.942820703104401
39937,228.0,Cai Paloquemao ,0.7 km,3,4.942820703104401
40096,176.0,Cai Santa Isabel  ,2.4 km,7,4.942820703104401
40098,176.0,Estación Antonio Nariño ,1.6 km,6,4.942820703104401
40099,176.0,Cai Ricaurte ,2.4 km,7,4.942820703104401
40104,176.0,Cai Santa Matilde ,1.6 km,6,4.942820703104401
40105,176.0,Cai Valvanera ,1.3 km,4,4.942820703104401
40110,176.0,Cai Restrepo ,2.2 km,7,4.942820703104401
40114,176.0,Cai Centenario ,2.1 km,8,4.942820703104401
40119,176.0,Cai San Jorge ,2.1 km,8,4.942820703104401
40121,176.0,Cai Gustavo Restrepo ,2.1 km,8,4.942820703104401
40153,166.0,Cai San Diego ,2.6 km,5,2.878816391520804
40160,166.0,Cai Telecom ,2.6 km,6,2.878816391520804
40161,166.0,Cai Torres Blancas ,3.1 km,6,2.878816391520804
40256,166.0,Cai Teusaquillo ,2.1 km,7,2.878816391520804
40260,166.0,Cai Galerias ,3.2 km,8,2.878816391520804
40264,166.0,Cai Samper Mendoza ,1.6 km,4,2.878816391520804
40268,166.0,Cai Soledad ,2.3 km,8,2.878816391520804
40330,202.0,Cai Las Cruces ,2.2 km,7,2.4853124012353445
40338,202.0,Cai Veinte De Julio ,0.9 km,4,2.4853124012353445
40342,202.0,Estación San Cristóbal ,1.5 km,5,2.4853124012353445
40344,202.0,Cai Distrital ,1.5 km,5,2.4853124012353445
40437,202.0,Estación Antonio Nariño ,2.4 km,8,2.4853124012353445
40439,202.0,Cai Restrepo ,1.7 km,8,2.4853124012353445
40441,202.0,Cai Ciudad Berna ,0.7 km,3,2.4853124012353445
40487,246.0,Cai Lourdes ,1.8 km,8,2.878816391520804
40603,246.0,Estación Teusaquillo ,1.9 km,8,2.878816391520804
40605,246.0,Cai Galerias ,0.8 km,4,2.878816391520804
40609,246.0,Cai Soledad ,1.5 km,7,2.878816391520804
40614,246.0,Cai Federman ,2.0 km,8,2.878816391520804
40615,246.0,Cai San Luis ,1.1 km,5,2.878816391520804
40857,203.0,Cai Veinte De Julio ,2.5 km,8,3.9049283849637786
40975,203.0,Estación Rafael Uribe ,1.6 km,7,3.9049283849637786
40983,203.0,Cai Lomas ,1.8 km,6,3.9049283849637786
40985,203.0,Cai Gustavo Restrepo ,2.0 km,8,3.9049283849637786
40987,203.0,Cai Centenario ,2.0 km,8,3.9049283849637786
40988,203.0,Cai San Jorge ,2.0 km,8,3.9049283849637786
41078,170.0,Cai Modelia ,2.3 km,6,7.220870423971701
41086,170.0,Cai Ciudad Salitre ,2.2 km,6,7.220870423971701
41095,170.0,Cai Normandia ,0.4 km,2,7.220870423971701
41267,158.0,Cai Bachue ,1.3 km,5,7.220870423971701
41269,158.0,Cai Serena ,1.1 km,6,7.220870423971701
41282,158.0,Cai Quirigua ,1.5 km,6,7.220870423971701
41378,230.0,Cai Veinte De Julio ,2.2 km,7,3.9049283849637786
41479,230.0,Estación Antonio Nariño ,1.7 km,8,3.9049283849637786
41480,230.0,Cai Ciudad Berna ,2.4 km,8,3.9049283849637786
41498,230.0,Estación Rafael Uribe ,1.4 km,5,3.9049283849637786
41502,230.0,Cai Centenario ,1.6 km,6,3.9049283849637786
41510,230.0,Cai Gustavo Restrepo ,1.6 km,6,3.9049283849637786
41511,230.0,Cai San Jorge ,1.6 km,6,3.9049283849637786
41579,184.0,Estación Kennedy ,1.5 km,6,15.525693658555944
41585,184.0,Cai Oneida ,1.4 km,5,15.525693658555944
41587,184.0,Cai Techo ,1.7 km,7,15.525693658555944
41596,184.0,Cai Timiza ,1.7 km,7,15.525693658555944
41598,184.0,Cai Delicias ,2.3 km,8,15.525693658555944
41599,184.0,Cai Villa Claudia ,2.7 km,8,15.525693658555944
41749,198.0,Estación Kennedy ,1.4 km,4,15.525693658555944
41751,198.0,Cai Oneida ,2.1 km,8,15.525693658555944
41763,198.0,Cai Caldas ,1.0 km,5,15.525693658555944
41766,198.0,Cai Techo ,1.6 km,6,15.525693658555944
41895,192.0,Cai La Victoria ,2.0 km,8,2.4853124012353445
41900,192.0,Cai Guacamayas ,0.5 km,2,2.4853124012353445
41903,192.0,Cai Bello Horizonte ,0.6 km,2,2.4853124012353445
41904,192.0,Cai Veinte De Julio ,2.1 km,8,2.4853124012353445
42018,192.0,Cai Dianaturbay ,2.3 km,8,2.4853124012353445
42102,175.0,Cai Oneida ,3.2 km,7,7.945104748270014
42122,175.0,Cai Villa Claudia ,2.8 km,7,7.945104748270014
42181,175.0,Cai Tejar ,0.9 km,3,7.945104748270014
42183,175.0,Cai Gorgonzola ,2.4 km,6,7.945104748270014
42186,175.0,Cai Galan ,2.1 km,6,7.945104748270014
42471,177.0,Estación Engativá ,1.3 km,5,7.220870423971701
42474,177.0,Cai Alamos ,1.5 km,6,7.220870423971701
42477,177.0,Cai Villa Luz ,0.9 km,3,7.220870423971701
42481,177.0,Cai Florida ,1.2 km,5,7.220870423971701
42634,194.0,Cai Modelia ,2.3 km,6,7.220870423971701
42645,194.0,Cai Normandia ,0.7 km,4,7.220870423971701
42649,194.0,Cai Villa Luz ,1.4 km,6,7.220870423971701
42799,182.0,Cai Castilla ,0.8 km,4,15.525693658555944
42993,195.0,Cai Ferias ,1.3 km,5,7.220870423971701
43026,195.0,Estación Barrios Unidos ,2.4 km,7,7.220870423971701
43210,229.0,Cai Ricaurte ,1.8 km,8,4.942820703104401
43211,229.0,Cai Samper Mendoza ,2.9 km,7,4.942820703104401
43212,229.0,Estación Mártires ,1.5 km,6,4.942820703104401
43214,229.0,Cai Paloquemao ,1.4 km,5,4.942820703104401
43225,229.0,Cai Santa Isabel  ,1.8 km,8,4.942820703104401
43326,210.0,Cai Granjas ,1.7 km,7,2.9593243387289996
43339,210.0,Cai Modelia ,2.4 km,5,2.9593243387289996
43342,210.0,Cai Normandia ,2.9 km,7,2.9593243387289996
43343,210.0,Cai Ciudad Salitre ,3.3 km,8,2.9593243387289996
43501,208.0,Cai Modelia ,2.8 km,6,2.9593243387289996
43504,208.0,Cai Granjas ,1.6 km,6,2.9593243387289996
43513,208.0,Cai Hayuelos ,3.6 km,8,2.9593243387289996
43515,208.0,Cai Normandia ,3.3 km,8,2.9593243387289996
