,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
6521,241.0,Cai San Luis ,0.6 km,3,2.878816391520804
6526,241.0,Cai Soledad ,1.8 km,8,2.878816391520804
6529,241.0,Cai Galerias ,1.0 km,6,2.878816391520804
6692,24.0,Cai Galerias ,2.6 km,8,2.878816391520804
6693,24.0,Cai Esmeralda ,0.5 km,3,2.878816391520804
6812,25.0,Cai Oneida ,2.6 km,8,15.525693658555944
6816,25.0,Cai Delicias ,1.1 km,5,15.525693658555944
6819,25.0,Cai Villa Claudia ,0.9 km,4,15.525693658555944
6931,214.0,Cai Las Cruces ,0.7 km,5,5.107584220989939
6949,214.0,Cai Colseguros ,2.2 km,8,5.107584220989939
6950,214.0,Cai Guavio ,2.3 km,8,5.107584220989939
6953,214.0,Cai Distrital ,1.1 km,6,5.107584220989939
6961,214.0,Cai Usme ,1.9 km,6,5.107584220989939
7058,214.0,Cai Ciudad Berna ,1.9 km,6,5.107584220989939
7063,214.0,Cai Restrepo ,2.3 km,8,5.107584220989939
7066,214.0,Estación Candelaria ,1.7 km,6,5.107584220989939
7071,214.0,Cai Bolivia ,1.8 km,7,5.107584220989939
7214,27.0,Estación Mártires ,2.5 km,7,7.945104748270014
7218,27.0,Cai Samper Mendoza ,3.7 km,8,7.945104748270014
7230,27.0,Cai Santa Isabel  ,2.3 km,6,7.945104748270014
7234,27.0,Estación Puente Aranda ,1.9 km,8,7.945104748270014
7235,27.0,Cai Paloquemao ,2.1 km,7,7.945104748270014
7242,27.0,Cai Ricaurte ,2.3 km,6,7.945104748270014
7293,28.0,Cai Bello Horizonte ,1.5 km,6,2.4853124012353445
7298,28.0,Cai La Victoria ,0.9 km,4,2.4853124012353445
7299,28.0,Cai Guacamayas ,1.0 km,5,2.4853124012353445
7411,28.0,Cai Dianaturbay ,2.3 km,8,2.4853124012353445
7559,29.0,Cai Fontanar ,1.4 km,7,10.23806100125259
7651,85.0,Estación Usme ,2.2 km,8,1.563767675016456
7655,85.0,Cai Nuevo Porvenir ,0.6 km,2,1.563767675016456
7657,85.0,Cai Antonio José De Sucre ,2.3 km,8,1.563767675016456
7863,187.0,Cai Macarena ,1.7 km,6,2.9593243387289996
8083,30.0,Cai Rio Negro ,2.4 km,7,1.1679465651794496
8380,86.0,Cai Modelia ,2.6 km,7,7.220870423971701
8395,86.0,Cai Normandia ,1.3 km,6,7.220870423971701
8402,86.0,Cai Villa Luz ,1.6 km,7,7.220870423971701
8597,234.0,Cai Galerias ,0.4 km,2,2.878816391520804
8604,234.0,Cai Federman ,1.6 km,6,2.878816391520804
8608,234.0,Cai Soledad ,1.7 km,7,2.878816391520804
8609,234.0,Cai San Luis ,1.0 km,5,2.878816391520804
8610,234.0,Cai Siete De Agosto ,2.9 km,7,2.878816391520804
8789,32.0,Cai Gorgonzola ,0.5 km,2,7.945104748270014
8790,32.0,Cai Galan ,1.3 km,3,7.945104748270014
8801,32.0,Cai Tejar ,3.2 km,7,7.945104748270014
9066,73.0,Cai Metrovivienda ,2.7 km,8,6.590791712152753
9258,34.0,Cai Florida ,0.2 km,1,7.220870423971701
9259,34.0,Estación Engativá ,1.6 km,7,7.220870423971701
9260,34.0,Cai Alamos ,1.9 km,6,7.220870423971701
9279,34.0,Cai Villa Luz ,1.9 km,7,7.220870423971701
9464,35.0,Cai La Alhambra ,1.4 km,6,10.23806100125259
9549,36.0,Cai Guacamayas ,2.2 km,8,2.4853124012353445
9551,36.0,Cai Altamira ,1.7 km,5,2.4853124012353445
9552,36.0,Cai Los Libertadores ,2.1 km,7,2.4853124012353445
9554,36.0,Cai La Victoria ,1.7 km,6,2.4853124012353445
9557,36.0,Cai Bello Horizonte ,2.5 km,8,2.4853124012353445
9699,215.0,Estación Santa Fé ,2.9 km,8,4.942820703104401
9700,215.0,Cai San Victorino ,2.4 km,8,4.942820703104401
9702,215.0,Cai San Diego ,1.4 km,4,4.942820703104401
9714,215.0,Cai Telecom ,1.4 km,4,4.942820703104401
9717,215.0,Cai Torres Blancas ,2.0 km,4,4.942820703104401
9814,215.0,Cai Soledad ,1.7 km,7,4.942820703104401
9820,215.0,Cai Samper Mendoza ,1.3 km,5,4.942820703104401
9825,215.0,Cai Teusaquillo ,1.0 km,4,4.942820703104401
9901,37.0,Cai Santa Martha ,0.5 km,4,1.563767675016456
9914,37.0,Cai Danubio Azul ,0.7 km,3,1.563767675016456
10010,37.0,Cai Dianaturbay ,1.7 km,7,1.563767675016456
10015,37.0,Cai Palermo Sur ,0.9 km,4,1.563767675016456
10072,38.0,Cai La Aurora ,4.5 km,8,4.557375710240918
10196,38.0,Cai Lucero ,1.4 km,6,4.557375710240918
10199,38.0,Cai Vista Hermosa ,1.7 km,6,4.557375710240918
10211,38.0,Cai La Joya ,1.5 km,7,4.557375710240918
10325,244.0,Cai Siete De Agosto ,2.8 km,7,2.878816391520804
